
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:DA:DA:A1:E0:CF, 2025-10-25 17:08:38, 2025-10-25 17:09:38, 11, 130, OPN, ,   , -14,      312,        0,   0.  0.  0.  0,   6, D-Link, 
F4:F7:0C:31:EF:2B, 2025-10-25 17:08:38, 2025-10-25 17:09:38,  2, 130, WPA2, CCMP, PSK, -67,      143,        0,   0.  0.  0.  0,   6, Netlix, 
3C:1E:04:91:AD:FC, 2025-10-25 17:08:38, 2025-10-25 17:09:37,  1,  54, WEP, WEP,   , -55,      110,        5,   0.  0.  0.  0,  11, Mohammadali, 
70:3A:CB:51:90:F3, 2025-10-25 17:08:38, 2025-10-25 17:09:36,  1, 130, WPA2, CCMP, PSK, -64,       42,        0,   0.  0.  0.  0,   8, Vasllix2, 
04:8D:39:48:46:98, 2025-10-25 17:08:39, 2025-10-25 17:09:37,  9, 135, WPA2, CCMP TKIP, PSK, -72,       86,        0,   0.  0.  0.  0,   5, Hamid, 
BC:34:00:53:53:5E, 2025-10-25 17:08:39, 2025-10-25 17:09:38,  8,  54, WPA2, TKIP, PSK, -65,      168,        0,   0.  0.  0.  0,  12, Amir hosein., 
90:8D:78:EF:59:25, 2025-10-25 17:08:39, 2025-10-25 17:09:38,  8,  65, WPA2, CCMP, PSK, -83,       66,        0,   0.  0.  0.  0,  11, , 
C8:D3:A3:C4:72:0F, 2025-10-25 17:08:39, 2025-10-25 17:09:38,  6, 270, WPA2 WPA, CCMP TKIP, PSK, -62,      168,        9,   0.  0.  0.  0,   3, Ali, 
EC:08:6B:96:30:B7, 2025-10-25 17:08:39, 2025-10-25 17:09:37,  7, 130, WPA2, CCMP TKIP, PSK, -76,       22,        1,   0.  0.  0.  0,   6, Meftah, 
34:0A:33:5B:A2:D9, 2025-10-25 17:08:39, 2025-10-25 17:09:37,  7, 130, WPA2, CCMP, PSK, -80,       71,        0,   0.  0.  0.  0,   9, Sevin-Net, 
5C:A6:E6:45:04:B9, 2025-10-25 17:08:39, 2025-10-25 17:09:38,  7, 130, WPA2, CCMP, PSK, -57,      177,        0,   0.  0.  0.  0,   8, Damavand, 
D0:17:C2:A1:5D:98, 2025-10-25 17:08:39, 2025-10-25 17:09:38, 11, 130, WPA2, CCMP, PSK, -74,      105,        6,   0.  0.  0.  0,   9, Asus 2.4G, 
30:68:93:99:C7:3C, 2025-10-25 17:08:39, 2025-10-25 17:09:35, 11, 130, WPA2, CCMP, PSK, -78,       86,        0,   0.  0.  0.  0,   5, Tasob, 
50:2B:73:22:B6:21, 2025-10-25 17:08:39, 2025-10-25 17:09:36,  2, 135, WPA2, CCMP, PSK, -81,       52,        0,   0.  0.  0.  0,  12, Tenda_22B620, 
9C:A2:F4:BE:29:19, 2025-10-25 17:08:39, 2025-10-25 17:09:36,  2, 130, WPA2, CCMP, PSK, -78,       50,       10,   0.  0.  0.  0,  12, TP-Link_2919, 
5C:62:8B:DD:90:1A, 2025-10-25 17:08:39, 2025-10-25 17:09:37,  2, 130, WPA2, CCMP, PSK, -81,       40,        0,   0.  0.  0.  0,   5, Selda, 
5E:62:8B:DD:90:1A, 2025-10-25 17:08:39, 2025-10-25 17:09:37,  2, 130, WPA2, CCMP, PSK, -81,       93,        0,   0.  0.  0.  0,  18, TP-Link_Guest_901A, 
BC:34:00:10:48:02, 2025-10-25 17:08:40, 2025-10-25 17:09:38,  8, 135, WPA2, CCMP, PSK, -93,        6,        0,   0.  0.  0.  0,  15, IP-WDL-RT150-P4, 
E8:48:B8:68:A4:17, 2025-10-25 17:08:40, 2025-10-25 17:09:37,  3, 130, WPA2, CCMP TKIP, PSK, -85,       45,        0,   0.  0.  0.  0,  14, TP-LINK_68A417, 
90:F6:52:98:DB:F4, 2025-10-25 17:08:40, 2025-10-25 17:09:38,  2,  65, WPA2, CCMP TKIP, PSK, -86,       15,        1,   0.  0.  0.  0,   3, Z.A, 
5C:A6:E6:D4:5B:12, 2025-10-25 17:08:40, 2025-10-25 17:09:38, 11, 130, WPA2, CCMP, PSK, -84,       21,        3,   0.  0.  0.  0,   0, , 
74:DA:DA:D7:3F:17, 2025-10-25 17:08:40, 2025-10-25 17:09:38, 10, 130, WPA2, CCMP, PSK, -82,       24,        0,   0.  0.  0.  0,   8, Mohammad, 
D4:6E:0E:E8:54:B2, 2025-10-25 17:08:40, 2025-10-25 17:09:38,  4, 130, WPA2, CCMP TKIP, PSK, -80,       55,        0,   0.  0.  0.  0,   9, hajghasem, 
B0:55:08:17:EA:AA, 2025-10-25 17:08:47, 2025-10-25 17:09:37,  9, 130, WPA2, CCMP, PSK, -82,       10,        1,   0.  0.  0.  0,  22, Irancell-TF-i60-EAAA_1, 
A4:07:B6:57:41:C4, 2025-10-25 17:08:49, 2025-10-25 17:09:36,  1,  65, WPA2, CCMP, PSK, -84,       14,       62,   0.  0.  0.  0,   2, pj, 
34:E8:94:9A:0B:68, 2025-10-25 17:09:34, 2025-10-25 17:09:38, 10, 130, WPA2, CCMP TKIP, PSK, -93,        1,        1,   0.  0.  0.  0,   6, Fakhri, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5A:53:1B:A3:00:6E, 2025-10-25 17:08:39, 2025-10-25 17:09:22, -60,       10, 9C:A2:F4:BE:29:19,
C2:0A:F1:9E:1B:EB, 2025-10-25 17:08:40, 2025-10-25 17:09:38, -80,       45, BC:34:00:10:48:02,
DC:B7:2E:0D:F4:DC, 2025-10-25 17:08:40, 2025-10-25 17:09:38, -82,       26, 90:F6:52:98:DB:F4,
64:89:F1:5D:BF:D9, 2025-10-25 17:08:40, 2025-10-25 17:09:38, -78,       42, 5C:A6:E6:D4:5B:12,
42:A6:25:BB:D9:CF, 2025-10-25 17:08:40, 2025-10-25 17:09:35, -82,       39, 5C:A6:E6:D4:5B:12,
CA:BD:78:6A:50:B3, 2025-10-25 17:08:41, 2025-10-25 17:09:36, -86,       38, D0:17:C2:A1:5D:98,
24:92:0E:6F:37:1A, 2025-10-25 17:08:43, 2025-10-25 17:09:36, -52,        3, 3C:1E:04:91:AD:FC,
5C:E0:C5:8D:2A:D9, 2025-10-25 17:08:46, 2025-10-25 17:09:36, -26,       19, 3C:1E:04:91:AD:FC,
CE:DF:E0:12:85:AB, 2025-10-25 17:08:47, 2025-10-25 17:08:47, -82,        1, B0:55:08:17:EA:AA,
6A:FA:C7:FC:0B:06, 2025-10-25 17:08:54, 2025-10-25 17:09:09, -86,        7, 5C:62:8B:DD:90:1A,
7C:FD:6B:6E:87:72, 2025-10-25 17:09:10, 2025-10-25 17:09:10, -84,        1, D0:17:C2:A1:5D:98,
04:10:6B:73:9B:B1, 2025-10-25 17:09:10, 2025-10-25 17:09:36,  -1,       62, A4:07:B6:57:41:C4,
9E:8F:DF:E1:95:A7, 2025-10-25 17:09:28, 2025-10-25 17:09:28, -74,        1, BC:34:00:10:48:02,
04:10:6B:76:4A:5A, 2025-10-25 17:09:30, 2025-10-25 17:09:35, -84,       14, C8:D3:A3:C4:72:0F,Ali
